x (m),y (m),dy/dx,residuo_numerico,y_polinomio,diferenca_abs
1.06000000,14.28827553,-0.64536858,0.00000000,14.28828471,0.00000918
1.07000000,14.28182428,-0.64488066,0.00000000,14.28183396,0.00000968
1.08000000,14.27537791,-0.64439285,0.00000000,14.27538808,0.00001016
1.09000000,14.26893642,-0.64390516,0.00000000,14.26894707,0.00001065
1.10000000,14.26249981,-0.64341757,0.00000000,14.26251094,0.00001113
1.11000000,14.25606807,-0.64293009,0.00000000,14.25607967,0.00001160
1.12000000,14.24964121,-0.64244271,0.00000000,14.24965327,0.00001206
1.13000000,14.24321922,-0.64195545,0.00000000,14.24323174,0.00001252
1.14000000,14.23680210,-0.64146829,0.00000000,14.23681507,0.00001298
1.15000000,14.23038985,-0.64098124,0.00000000,14.23040328,0.00001342
1.16000000,14.22398247,-0.64049430,0.00000000,14.22399634,0.00001387
1.17000000,14.21757996,-0.64000746,0.00000000,14.21759427,0.00001430
1.18000000,14.21118232,-0.63952074,0.00000000,14.21119706,0.00001474
1.19000000,14.20478955,-0.63903412,0.00000000,14.20480471,0.00001516
1.20000000,14.19840164,-0.63854760,0.00000000,14.19841722,0.00001558
1.21000000,14.19201860,-0.63806120,0.00000000,14.19203459,0.00001600
1.22000000,14.18564042,-0.63757490,0.00000000,14.18565682,0.00001641
1.23000000,14.17926710,-0.63708871,0.00000000,14.17928391,0.00001681
1.24000000,14.17289864,-0.63660263,0.00000000,14.17291585,0.00001721
1.25000000,14.16653505,-0.63611665,0.00000000,14.16655265,0.00001760
1.26000000,14.16017631,-0.63563078,0.00000000,14.16019430,0.00001799
1.27000000,14.15382243,-0.63514502,0.00000000,14.15384080,0.00001837
1.28000000,14.14747341,-0.63465937,0.00000000,14.14749216,0.00001875
1.29000000,14.14112924,-0.63417382,0.00000000,14.14114836,0.00001912
1.30000000,14.13478993,-0.63368838,0.00000000,14.13480942,0.00001949
1.31000000,14.12845547,-0.63320304,0.00000000,14.12847532,0.00001985
1.32000000,14.12212587,-0.63271781,0.00000000,14.12214607,0.00002020
1.33000000,14.11580112,-0.63223269,0.00000000,14.11582167,0.00002056
1.34000000,14.10948122,-0.63174767,0.00000000,14.10950212,0.00002090
1.35000000,14.10316616,-0.63126276,0.00000000,14.10318741,0.00002124
1.36000000,14.09685596,-0.63077796,0.00000000,14.09687754,0.00002158
1.37000000,14.09055060,-0.63029326,0.00000000,14.09057251,0.00002191
1.38000000,14.08425009,-0.62980867,0.00000000,14.08427233,0.00002224
1.39000000,14.07795443,-0.62932418,0.00000000,14.07797699,0.00002256
1.40000000,14.07166361,-0.62883980,0.00000000,14.07168648,0.00002287
1.41000000,14.06537763,-0.62835552,0.00000000,14.06540082,0.00002318
1.42000000,14.05909650,-0.62787135,0.00000000,14.05911999,0.00002349
1.43000000,14.05282021,-0.62738729,0.00000000,14.05284400,0.00002379
1.44000000,14.04654875,-0.62690333,0.00000000,14.04657284,0.00002409
1.45000000,14.04028214,-0.62641948,0.00000000,14.04030652,0.00002438
1.46000000,14.03402036,-0.62593573,0.00000000,14.03404503,0.00002467
1.47000000,14.02776342,-0.62545209,0.00000000,14.02778837,0.00002495
1.48000000,14.02151132,-0.62496855,0.00000000,14.02153655,0.00002523
1.49000000,14.01526405,-0.62448512,0.00000000,14.01528955,0.00002550
1.50000000,14.00902162,-0.62400179,0.00000000,14.00904739,0.00002577
1.51000000,14.00278402,-0.62351857,0.00000000,14.00281005,0.00002603
1.52000000,13.99655125,-0.62303545,0.00000000,13.99657754,0.00002629
1.53000000,13.99032331,-0.62255244,0.00000000,13.99034985,0.00002654
1.54000000,13.98410020,-0.62206953,0.00000000,13.98412699,0.00002679
1.55000000,13.97788192,-0.62158673,0.00000000,13.97790896,0.00002704
1.56000000,13.97166846,-0.62110403,0.00000000,13.97169574,0.00002728
1.57000000,13.96545984,-0.62062143,0.00000000,13.96548735,0.00002752
1.58000000,13.95925603,-0.62013894,0.00000000,13.95928378,0.00002775
1.59000000,13.95305706,-0.61965656,0.00000000,13.95308504,0.00002798
1.60000000,13.94686290,-0.61917428,0.00000000,13.94689110,0.00002820
1.61000000,13.94067357,-0.61869210,0.00000000,13.94070199,0.00002842
1.62000000,13.93448906,-0.61821002,0.00000000,13.93451770,0.00002864
1.63000000,13.92830937,-0.61772805,0.00000000,13.92833822,0.00002885
1.64000000,13.92213450,-0.61724619,0.00000000,13.92216355,0.00002905
1.65000000,13.91596445,-0.61676443,0.00000000,13.91599370,0.00002926
1.66000000,13.90979921,-0.61628277,0.00000000,13.90982866,0.00002945
1.67000000,13.90363879,-0.61580121,0.00000000,13.90366844,0.00002965
1.68000000,13.89748319,-0.61531976,0.00000000,13.89751302,0.00002984
1.69000000,13.89133239,-0.61483841,0.00000000,13.89136242,0.00003002
1.70000000,13.88518642,-0.61435717,0.00000000,13.88521662,0.00003020
1.71000000,13.87904525,-0.61387603,0.00000000,13.87907563,0.00003038
1.72000000,13.87290890,-0.61339499,0.00000000,13.87293945,0.00003056
1.73000000,13.86677735,-0.61291405,0.00000000,13.86680808,0.00003072
1.74000000,13.86065061,-0.61243322,0.00000000,13.86068151,0.00003089
1.75000000,13.85452869,-0.61195249,0.00000000,13.85455974,0.00003105
1.76000000,13.84841156,-0.61147187,0.00000000,13.84844277,0.00003121
1.77000000,13.84229925,-0.61099134,0.00000000,13.84233061,0.00003136
1.78000000,13.83619174,-0.61051092,0.00000000,13.83622325,0.00003151
1.79000000,13.83008903,-0.61003060,0.00000000,13.83012069,0.00003166
1.80000000,13.82399112,-0.60955039,0.00000000,13.82402293,0.00003180
